architecture,dataset,k,model_idx,accuracy,rho,dropout_rate,run_id
wide_5,mnist_1_vs_7,400,1,0.9869999885559082,-516971704.3333333,,wide_5_mnist_1_vs_7_k400_m1
wide_5,mnist_1_vs_7,400,2,0.9929999709129333,-531573559.6666667,,wide_5_mnist_1_vs_7_k400_m2
wide_5,mnist_1_vs_7,400,3,0.9894999861717224,-513630719.6666667,,wide_5_mnist_1_vs_7_k400_m3
wide_5,mnist_1_vs_7,400,4,0.9884999990463257,-518711478.3333333,,wide_5_mnist_1_vs_7_k400_m4
wide_5,mnist_1_vs_7,400,5,0.9919999837875366,-503650566.0,,wide_5_mnist_1_vs_7_k400_m5
wide_5,mnist_1_vs_7,400,6,0.9909999966621399,-527210263.3333333,,wide_5_mnist_1_vs_7_k400_m6
wide_5,mnist_1_vs_7,400,7,0.9894999861717224,-504433551.6666667,,wide_5_mnist_1_vs_7_k400_m7
wide_5,mnist_1_vs_7,400,8,0.9909999966621399,-524966564.6666667,,wide_5_mnist_1_vs_7_k400_m8
wide_5,mnist_1_vs_7,400,9,0.987500011920929,-522633308.6666667,,wide_5_mnist_1_vs_7_k400_m9
wide_5,mnist_1_vs_7,400,10,0.9900000095367432,-509796958.6666667,,wide_5_mnist_1_vs_7_k400_m10
wide_5,mnist_1_vs_7,400,11,0.9879999756813049,-542366568.3333334,,wide_5_mnist_1_vs_7_k400_m11
